@vocab
il caffè | noun | m | coffee | caffè
il cappuccino | noun | m | cappuccino | cappuccino, cappuccini
il cornetto | noun | m | croissant | cornetto, cornetti
la brioche | noun | f | brioche | brioche
l'acqua | noun | f | water | acqua
il bicchiere | noun | m | glass | bicchiere, bicchieri
il latte | noun | m | milk | latte
la tazza | noun | f | cup | tazza, tazze
il tavolo | noun | m | table | tavolo, tavoli
il conto | noun | m | bill | conto
il bar | noun | m | bar, café | bar
il pranzo | noun | m | lunch | pranzo
la pasta | noun | f | pasta | pasta
il primo | noun | m | first course | primo, primi
il secondo | noun | m | main course | secondo, secondi
il dolce | noun | m | dessert | dolce, dolci
il pane | noun | m | bread | pane
la colazione | noun | f | breakfast | colazione
lo zucchero | noun | m | sugar | zucchero
il quaderno | noun | m | notebook | quaderno, quaderni
la parola | noun | f | word | parola, parole
il problema | noun | m | problem | problema, problemi
la foto | noun | f | photo | foto
vorrei | verb | | I would like | vorrei
per favore | expression | | please | per favore
grazie | interjection | | thank you | grazie
buono | adjective | | good, tasty | buono, buona, buoni, buone
nuovo | adjective | | new | nuovo, nuova, nuovi, nuove
@end

# SCENE bar-tigli | sabato mattina | ben, matteo, nadia
And a few words ending in **-a** are masculine, usually because they came from Greek:

- *il problema* → *i problemi*
- *il programma* → *i programmi*

So the rule "*-a* means feminine" is a strong tendency, not a law.

### A fixed phrase: *vorrei*

*Vorrei* literally means "I would want", but in everyday Italian it is the polite way to say "I'd like". Treat it as one block of sound you memorise, like *per favore* and *grazie*:

> **Vorrei** un caffè, per favore. — I'd like a coffee, please.

You don't need to build it from a verb yet. Just use it whole.

## From the story

[[Il quaderno è nuovo.]]
*Quaderno* ends in -o, so it's masculine and takes *il*. *Nuovo* agrees with it.

[[La tazza è bianca e molto piccola.]]
*Tazza* ends in -a: feminine, so *la*. The adjective ends in -a too.

[[Le tazze qui sono piccole. Le brioche sono dolci.]]
Both nouns are feminine, so the plural article is *le*. *Tazze* changes -a → -e; *brioche* stays the same.

[[Nel quaderno ci sono dieci parole.]]
*Parole* is the plural of *la parola*: -a → -e.

[[Il caffè con il latte è un cappuccino.]]
Two masculine nouns in -e, *caffè* and *latte*, both take *il*.

[[Il primo è la pasta. E il secondo è la carne.]]
*Primo* and *secondo* are masculine nouns in -o; *pasta* and *carne* are feminine.

[[In italiano il latte è latte.]]
*Latte* ends in -e but is masculine — you learn it with *il*.

[[Il problema è il conto.]]
A classic trap: *problema* ends in -a but is masculine, so it's *il problema*, plural *i problemi*.

[[Nella foto c'è una donna con un sorriso grande.]]
*Foto* is feminine despite the -o, and its plural is *le foto* — unchanged.

[[Vorrei un caffè, per favore.]]
*Vorrei* as a fixed phrase for polite ordering.

## Common mistakes

- **Assuming -a always means feminine.** *Il problema*, *il programma*, *il clima* are masculine.
- **Assuming -o always means masculine.** *La foto*, *la moto*, *la mano* are feminine.
- **Giving -e nouns the wrong plural.** It's *-i* for both genders: *i bicchieri*, *le colazioni*. Don't write *le colazione* or *i bicchiere*.
- **Forgetting the article changes too.** It's not just the noun: *il* → *i*, *la* → *le*, *l'* → *gli*/*le*.
- **Adding -s for the plural, English-style.** Italian never uses -s: not *tazzas*, but *tazze*.
- **Changing words that don't change.** Say *i caffè*, *le foto*, *le brioche* — exactly as in the singular.
- **Trying to conjugate *vorrei*.** At this level, keep it as a fixed polite phrase and don't worry about the verb behind it.

## Practice

1. Make the plural: *il cornetto* → ?
2. Make the plural: *la parola* → ?
3. Make the plural: *il bicchiere* → ?
4. Make the plural: *la colazione* → ?
5. Make the plural: *il problema* → ?
6. Make the plural: *la foto* → ?
7. Is *latte* masculine or feminine? Which article?
8. Is *pasta* masculine or feminine? Which article?
9. Complete politely: "______ un caffè, per favore."
10. Correct the error: *le tazza sono nuove*.

### Answer key

1. *i cornetti*
2. *le parole*
3. *i bicchieri*
4. *le colazioni*
5. *i problemi*
6. *le foto* (unchanged)
7. masculine: *il latte*
8. feminine: *la pasta*
9. *Vorrei*
10. *le tazze sono nuove* — the noun must agree in number with the article and the adjective.
